date,ticker,close
2026-09-17,VOYA,99.62
2026-09-17,AMG,348.63
2026-09-17,WLK,70.5
2026-09-17,CTRE,38.125
2026-09-17,CUBE,39.89
2026-09-17,SM,37.75
2026-09-17,PBF,75.745
2026-09-17,PRI,291.49
2026-09-17,KTOS,47.77
2026-09-17,OSK,144.81
2026-09-17,AYI,297.35
2026-09-17,VIRT,56.99
2026-09-17,KNTK,54.39
2026-09-17,MP,49.4
2026-09-17,LLYVA,95.42
2026-09-17,MHK,129.41
2026-09-17,TTC,92.45
2026-09-17,WYNN,84.91
2026-09-17,PRAX,312.69
2026-09-17,FORM,111.68
2026-09-17,VIAV,35.325
2026-09-17,GLXY,22.25
2026-09-17,TGTX,56.73
2026-09-17,EAT,207.735
2026-09-17,DY,286.815
2026-09-17,RGEN,176.155
2026-09-17,REXR,38.6
2026-09-17,LINE,37.74
2026-09-17,BRX,27.995
2026-09-17,AAL,12.975
2026-09-17,WAL,78.635
2026-09-17,DBX,37.61
2026-09-17,ADC,68.16
2026-09-17,COLB,29.96
2026-09-17,IDCC,328.3424
2026-09-17,CHWY,21.08
2026-09-17,CAI,29.91
2026-09-17,PB,70.32
2026-09-17,AGCO,120.33
2026-09-17,RHP,121.57
2026-09-17,S,24.005
2026-09-17,KMX,58.84
2026-09-17,SYRE,94.675
2026-09-17,AVAV,164.0079
2026-09-17,AAOI,98.071
2026-09-17,LNC,43.39
2026-09-17,GTLB,49.69
2026-09-17,TKR,118.83
2026-09-17,FR,62.11
2026-09-17,CBSH,57.35
2026-09-17,UGI,38.25
2026-09-17,NEU,890.93
2026-09-17,KNSL,359.445
2026-09-17,CNM,42.675
2026-09-17,MOS,25.54
2026-09-17,WULF,16.2225
2026-09-17,ACM,62.62
2026-09-17,BOKF,132.55
2026-09-17,SNEX,66.715
2026-09-17,NNN,41.855
2026-09-17,THG,230.62
2026-09-17,CHRD,146.73
2026-09-17,RIOT,21.285
2026-09-17,ATR,125.62
2026-09-17,ESI,32.765
2026-09-17,PCOR,52.26
2026-09-17,SFD,19.99
2026-09-17,APPF,221.6
2026-09-17,PCTY,147.69
2026-09-17,HQY,94.7
2026-09-17,COMP,10.325
2026-09-17,AVT,95.25
2026-09-17,TPGXL,21.38
2026-09-17,ZETA,30.9
2026-09-17,AUGO,92.56
2026-09-17,IMVT,37.53
2026-09-17,HNGE,95.9
2026-09-17,AOS,56.91
2026-09-17,IDA,133.545
2026-09-17,PRMB,21.29
2026-09-17,IONS,46.385
2026-09-17,NFG,80.595
2026-09-17,PRH,21.734
2026-09-17,LEVI,19.8334
2026-09-17,EMN,66.52
2026-09-17,MORN,202.645
2026-09-17,ZWS,45.72
2026-09-17,SARO,22.845
2026-09-17,FAF,73.83
2026-09-17,VLY,13.61
2026-09-17,CBC,31.385
2026-09-17,LAD,340.655
2026-09-17,CMC,67.505
2026-09-17,APLD,25.448
2026-09-17,RAL,66.96
2026-09-17,SLAB,219.85
2026-09-17,CLF,12.84
2026-09-17,NOV,20.45
2026-09-17,CAG,15.185
2026-09-17,KEX,138.05
2026-09-17,PRS,20.6581
2026-09-17,GAP,20.565
2026-09-17,PATH,13.8596
2026-09-17,GJS,23.12
2026-09-17,TRNO,66.19
2026-09-17,BROS,41.175
2026-09-17,NTSK,17.535
2026-09-17,STAG,37.15
2026-09-17,CELH,28.28
2026-09-17,ACA,145.58
2026-09-17,MTDR,57.69
2026-09-17,MATX,238.54
2026-09-17,NE,44.66
2026-09-17,FLR,53.255
2026-09-17,ZG,31.67
2026-09-17,PPC,29.88
2026-09-17,AXTA,33.23
